id,name,instance_type,ns,length,path
0,Dijkstra,"{'id' : 0, 'metric' : 'distance', 'name' : 'MinHeap'}",36731600,20,"{'p' : [{'lat' : 48.174995,'lng' : 16.298124},{'lat' : 48.175114,'lng' : 16.29801},{'lat' : 48.17538,'lng' : 16.297888},{'lat' : 48.175743,'lng' : 16.297913},{'lat' : 48.176155,'lng' : 16.297853},{'lat' : 48.17926,'lng' : 16.298733},{'lat' : 48.180607,'lng' : 16.299164},{'lat' : 48.181095,'lng' : 16.299297},{'lat' : 48.1842,'lng' : 16.300323},{'lat' : 48.185143,'lng' : 16.3008},{'lat' : 48.18608,'lng' : 16.301487},{'lat' : 48.18737,'lng' : 16.303947},{'lat' : 48.187283,'lng' : 16.306591},{'lat' : 48.187027,'lng' : 16.31293},{'lat' : 48.186787,'lng' : 16.313828},{'lat' : 48.18509,'lng' : 16.31871},{'lat' : 48.184906,'lng' : 16.319628},{'lat' : 48.184895,'lng' : 16.3198},{'lat' : 48.183838,'lng' : 16.323624},{'lat' : 48.183147,'lng' : 16.3262},{'lat' : 48.182888,'lng' : 16.326185}]}"
1,Dijkstra,"{'id' : 0, 'metric' : 'distance', 'name' : 'Fibonacci_Heap'}",9360700,20,"{'p' : [{'lat' : 48.174995,'lng' : 16.298124},{'lat' : 48.175114,'lng' : 16.29801},{'lat' : 48.17538,'lng' : 16.297888},{'lat' : 48.175743,'lng' : 16.297913},{'lat' : 48.176155,'lng' : 16.297853},{'lat' : 48.17926,'lng' : 16.298733},{'lat' : 48.180607,'lng' : 16.299164},{'lat' : 48.181095,'lng' : 16.299297},{'lat' : 48.1842,'lng' : 16.300323},{'lat' : 48.185143,'lng' : 16.3008},{'lat' : 48.18608,'lng' : 16.301487},{'lat' : 48.18737,'lng' : 16.303947},{'lat' : 48.187283,'lng' : 16.306591},{'lat' : 48.187027,'lng' : 16.31293},{'lat' : 48.186787,'lng' : 16.313828},{'lat' : 48.18509,'lng' : 16.31871},{'lat' : 48.184906,'lng' : 16.319628},{'lat' : 48.184895,'lng' : 16.3198},{'lat' : 48.183838,'lng' : 16.323624},{'lat' : 48.183147,'lng' : 16.3262},{'lat' : 48.182888,'lng' : 16.326185}]}"
2,Dijkstra,"{'id' : 0, 'metric' : 'distance', 'name' : 'Simple_Queue'}",158329500,20,"{'p' : [{'lat' : 48.174995,'lng' : 16.298124},{'lat' : 48.175114,'lng' : 16.29801},{'lat' : 48.17538,'lng' : 16.297888},{'lat' : 48.175743,'lng' : 16.297913},{'lat' : 48.176155,'lng' : 16.297853},{'lat' : 48.17926,'lng' : 16.298733},{'lat' : 48.180607,'lng' : 16.299164},{'lat' : 48.181095,'lng' : 16.299297},{'lat' : 48.1842,'lng' : 16.300323},{'lat' : 48.185143,'lng' : 16.3008},{'lat' : 48.18608,'lng' : 16.301487},{'lat' : 48.18737,'lng' : 16.303947},{'lat' : 48.187283,'lng' : 16.306591},{'lat' : 48.187027,'lng' : 16.31293},{'lat' : 48.186787,'lng' : 16.313828},{'lat' : 48.18509,'lng' : 16.31871},{'lat' : 48.184906,'lng' : 16.319628},{'lat' : 48.184895,'lng' : 16.3198},{'lat' : 48.183838,'lng' : 16.323624},{'lat' : 48.183147,'lng' : 16.3262},{'lat' : 48.182888,'lng' : 16.326185}]}"
3,Dijkstra,"{'id' : 1, 'metric' : 'distance', 'name' : 'MinHeap'}",30144300,55,"{'p' : [{'lat' : 48.167297,'lng' : 16.391817},{'lat' : 48.166485,'lng' : 16.3927},{'lat' : 48.16902,'lng' : 16.396523},{'lat' : 48.169235,'lng' : 16.401924},{'lat' : 48.16826,'lng' : 16.403435},{'lat' : 48.168667,'lng' : 16.40381},{'lat' : 48.163956,'lng' : 16.410177},{'lat' : 48.166637,'lng' : 16.410555},{'lat' : 48.16679,'lng' : 16.410742},{'lat' : 48.16683,'lng' : 16.413157},{'lat' : 48.165337,'lng' : 16.4151},{'lat' : 48.16441,'lng' : 16.416351},{'lat' : 48.163837,'lng' : 16.41708},{'lat' : 48.163593,'lng' : 16.417307},{'lat' : 48.163216,'lng' : 16.417822},{'lat' : 48.163128,'lng' : 16.41798},{'lat' : 48.16317,'lng' : 16.41809},{'lat' : 48.163254,'lng' : 16.418118},{'lat' : 48.163677,'lng' : 16.418415},{'lat' : 48.16373,'lng' : 16.418459},{'lat' : 48.164684,'lng' : 16.418896},{'lat' : 48.165257,'lng' : 16.419144},{'lat' : 48.165817,'lng' : 16.419394},{'lat' : 48.16637,'lng' : 16.419548},{'lat' : 48.166466,'lng' : 16.419828},{'lat' : 48.166313,'lng' : 16.420095},{'lat' : 48.16683,'lng' : 16.421669},{'lat' : 48.167328,'lng' : 16.423534},{'lat' : 48.169086,'lng' : 16.421734},{'lat' : 48.169235,'lng' : 16.423275},{'lat' : 48.16917,'lng' : 16.423477},{'lat' : 48.16864,'lng' : 16.424768},{'lat' : 48.167973,'lng' : 16.425974},{'lat' : 48.166584,'lng' : 16.428438},{'lat' : 48.16645,'lng' : 16.428677},{'lat' : 48.166386,'lng' : 16.428799},{'lat' : 48.165577,'lng' : 16.431269},{'lat' : 48.16273,'lng' : 16.443136},{'lat' : 48.162457,'lng' : 16.444271},{'lat' : 48.161022,'lng' : 16.447912},{'lat' : 48.16068,'lng' : 16.451666},{'lat' : 48.160343,'lng' : 16.455406},{'lat' : 48.160255,'lng' : 16.457506},{'lat' : 48.160187,'lng' : 16.459656},{'lat' : 48.16045,'lng' : 16.460058},{'lat' : 48.160748,'lng' : 16.460716},{'lat' : 48.16126,'lng' : 16.465612},{'lat' : 48.16137,'lng' : 16.466122},{'lat' : 48.16158,'lng' : 16.467266},{'lat' : 48.16153,'lng' : 16.468794},{'lat' : 48.162533,'lng' : 16.470686},{'lat' : 48.16217,'lng' : 16.471605},{'lat' : 48.162117,'lng' : 16.47174},{'lat' : 48.16358,'lng' : 16.47328},{'lat' : 48.164738,'lng' : 16.475662},{'lat' : 48.163868,'lng' : 16.475342}]}"
4,Dijkstra,"{'id' : 1, 'metric' : 'distance', 'name' : 'Fibonacci_Heap'}",17480700,55,"{'p' : [{'lat' : 48.167297,'lng' : 16.391817},{'lat' : 48.166485,'lng' : 16.3927},{'lat' : 48.16902,'lng' : 16.396523},{'lat' : 48.169235,'lng' : 16.401924},{'lat' : 48.16826,'lng' : 16.403435},{'lat' : 48.168667,'lng' : 16.40381},{'lat' : 48.163956,'lng' : 16.410177},{'lat' : 48.166637,'lng' : 16.410555},{'lat' : 48.16679,'lng' : 16.410742},{'lat' : 48.16683,'lng' : 16.413157},{'lat' : 48.165337,'lng' : 16.4151},{'lat' : 48.16441,'lng' : 16.416351},{'lat' : 48.163837,'lng' : 16.41708},{'lat' : 48.163593,'lng' : 16.417307},{'lat' : 48.163216,'lng' : 16.417822},{'lat' : 48.163128,'lng' : 16.41798},{'lat' : 48.16317,'lng' : 16.41809},{'lat' : 48.163254,'lng' : 16.418118},{'lat' : 48.163677,'lng' : 16.418415},{'lat' : 48.16373,'lng' : 16.418459},{'lat' : 48.164684,'lng' : 16.418896},{'lat' : 48.165257,'lng' : 16.419144},{'lat' : 48.165817,'lng' : 16.419394},{'lat' : 48.16637,'lng' : 16.419548},{'lat' : 48.166466,'lng' : 16.419828},{'lat' : 48.166313,'lng' : 16.420095},{'lat' : 48.16683,'lng' : 16.421669},{'lat' : 48.167328,'lng' : 16.423534},{'lat' : 48.169086,'lng' : 16.421734},{'lat' : 48.169235,'lng' : 16.423275},{'lat' : 48.16917,'lng' : 16.423477},{'lat' : 48.16864,'lng' : 16.424768},{'lat' : 48.167973,'lng' : 16.425974},{'lat' : 48.166584,'lng' : 16.428438},{'lat' : 48.16645,'lng' : 16.428677},{'lat' : 48.166386,'lng' : 16.428799},{'lat' : 48.165577,'lng' : 16.431269},{'lat' : 48.16273,'lng' : 16.443136},{'lat' : 48.162457,'lng' : 16.444271},{'lat' : 48.161022,'lng' : 16.447912},{'lat' : 48.16068,'lng' : 16.451666},{'lat' : 48.160343,'lng' : 16.455406},{'lat' : 48.160255,'lng' : 16.457506},{'lat' : 48.160187,'lng' : 16.459656},{'lat' : 48.16045,'lng' : 16.460058},{'lat' : 48.160748,'lng' : 16.460716},{'lat' : 48.16126,'lng' : 16.465612},{'lat' : 48.16137,'lng' : 16.466122},{'lat' : 48.16158,'lng' : 16.467266},{'lat' : 48.16153,'lng' : 16.468794},{'lat' : 48.162533,'lng' : 16.470686},{'lat' : 48.16217,'lng' : 16.471605},{'lat' : 48.162117,'lng' : 16.47174},{'lat' : 48.16358,'lng' : 16.47328},{'lat' : 48.164738,'lng' : 16.475662},{'lat' : 48.163868,'lng' : 16.475342}]}"
5,Dijkstra,"{'id' : 1, 'metric' : 'distance', 'name' : 'Simple_Queue'}",402294000,55,"{'p' : [{'lat' : 48.167297,'lng' : 16.391817},{'lat' : 48.166485,'lng' : 16.3927},{'lat' : 48.16902,'lng' : 16.396523},{'lat' : 48.169235,'lng' : 16.401924},{'lat' : 48.16826,'lng' : 16.403435},{'lat' : 48.168667,'lng' : 16.40381},{'lat' : 48.163956,'lng' : 16.410177},{'lat' : 48.166637,'lng' : 16.410555},{'lat' : 48.16679,'lng' : 16.410742},{'lat' : 48.16683,'lng' : 16.413157},{'lat' : 48.165337,'lng' : 16.4151},{'lat' : 48.16441,'lng' : 16.416351},{'lat' : 48.163837,'lng' : 16.41708},{'lat' : 48.163593,'lng' : 16.417307},{'lat' : 48.163216,'lng' : 16.417822},{'lat' : 48.163128,'lng' : 16.41798},{'lat' : 48.16317,'lng' : 16.41809},{'lat' : 48.163254,'lng' : 16.418118},{'lat' : 48.163677,'lng' : 16.418415},{'lat' : 48.16373,'lng' : 16.418459},{'lat' : 48.164684,'lng' : 16.418896},{'lat' : 48.165257,'lng' : 16.419144},{'lat' : 48.165817,'lng' : 16.419394},{'lat' : 48.16637,'lng' : 16.419548},{'lat' : 48.166466,'lng' : 16.419828},{'lat' : 48.166313,'lng' : 16.420095},{'lat' : 48.16683,'lng' : 16.421669},{'lat' : 48.167328,'lng' : 16.423534},{'lat' : 48.169086,'lng' : 16.421734},{'lat' : 48.169235,'lng' : 16.423275},{'lat' : 48.16917,'lng' : 16.423477},{'lat' : 48.16864,'lng' : 16.424768},{'lat' : 48.167973,'lng' : 16.425974},{'lat' : 48.166584,'lng' : 16.428438},{'lat' : 48.16645,'lng' : 16.428677},{'lat' : 48.166386,'lng' : 16.428799},{'lat' : 48.165577,'lng' : 16.431269},{'lat' : 48.16273,'lng' : 16.443136},{'lat' : 48.162457,'lng' : 16.444271},{'lat' : 48.161022,'lng' : 16.447912},{'lat' : 48.16068,'lng' : 16.451666},{'lat' : 48.160343,'lng' : 16.455406},{'lat' : 48.160255,'lng' : 16.457506},{'lat' : 48.160187,'lng' : 16.459656},{'lat' : 48.16045,'lng' : 16.460058},{'lat' : 48.160748,'lng' : 16.460716},{'lat' : 48.16126,'lng' : 16.465612},{'lat' : 48.16137,'lng' : 16.466122},{'lat' : 48.16158,'lng' : 16.467266},{'lat' : 48.16153,'lng' : 16.468794},{'lat' : 48.162533,'lng' : 16.470686},{'lat' : 48.16217,'lng' : 16.471605},{'lat' : 48.162117,'lng' : 16.47174},{'lat' : 48.16358,'lng' : 16.47328},{'lat' : 48.164738,'lng' : 16.475662},{'lat' : 48.163868,'lng' : 16.475342}]}"
6,Dijkstra,"{'id' : 2, 'metric' : 'distance', 'name' : 'MinHeap'}",1613100,17,"{'p' : [{'lat' : 48.20879,'lng' : 16.3752},{'lat' : 48.20803,'lng' : 16.377449},{'lat' : 48.20775,'lng' : 16.378412},{'lat' : 48.20722,'lng' : 16.380207},{'lat' : 48.20716,'lng' : 16.380478},{'lat' : 48.20695,'lng' : 16.3815},{'lat' : 48.206604,'lng' : 16.382746},{'lat' : 48.20657,'lng' : 16.38285},{'lat' : 48.20765,'lng' : 16.383673},{'lat' : 48.207813,'lng' : 16.383821},{'lat' : 48.20824,'lng' : 16.384151},{'lat' : 48.208286,'lng' : 16.384016},{'lat' : 48.208473,'lng' : 16.383457},{'lat' : 48.208817,'lng' : 16.382467},{'lat' : 48.21003,'lng' : 16.382812},{'lat' : 48.21006,'lng' : 16.382559},{'lat' : 48.210014,'lng' : 16.382547},{'lat' : 48.210037,'lng' : 16.382282}]}"
7,Dijkstra,"{'id' : 2, 'metric' : 'distance', 'name' : 'Fibonacci_Heap'}",1111800,17,"{'p' : [{'lat' : 48.20879,'lng' : 16.3752},{'lat' : 48.20803,'lng' : 16.377449},{'lat' : 48.20775,'lng' : 16.378412},{'lat' : 48.20722,'lng' : 16.380207},{'lat' : 48.20716,'lng' : 16.380478},{'lat' : 48.20695,'lng' : 16.3815},{'lat' : 48.206604,'lng' : 16.382746},{'lat' : 48.20657,'lng' : 16.38285},{'lat' : 48.20765,'lng' : 16.383673},{'lat' : 48.207813,'lng' : 16.383821},{'lat' : 48.20824,'lng' : 16.384151},{'lat' : 48.208286,'lng' : 16.384016},{'lat' : 48.208473,'lng' : 16.383457},{'lat' : 48.208817,'lng' : 16.382467},{'lat' : 48.21003,'lng' : 16.382812},{'lat' : 48.21006,'lng' : 16.382559},{'lat' : 48.210014,'lng' : 16.382547},{'lat' : 48.210037,'lng' : 16.382282}]}"
8,Dijkstra,"{'id' : 2, 'metric' : 'distance', 'name' : 'Simple_Queue'}",8751500,17,"{'p' : [{'lat' : 48.20879,'lng' : 16.3752},{'lat' : 48.20803,'lng' : 16.377449},{'lat' : 48.20775,'lng' : 16.378412},{'lat' : 48.20722,'lng' : 16.380207},{'lat' : 48.20716,'lng' : 16.380478},{'lat' : 48.20695,'lng' : 16.3815},{'lat' : 48.206604,'lng' : 16.382746},{'lat' : 48.20657,'lng' : 16.38285},{'lat' : 48.20765,'lng' : 16.383673},{'lat' : 48.207813,'lng' : 16.383821},{'lat' : 48.20824,'lng' : 16.384151},{'lat' : 48.208286,'lng' : 16.384016},{'lat' : 48.208473,'lng' : 16.383457},{'lat' : 48.208817,'lng' : 16.382467},{'lat' : 48.21003,'lng' : 16.382812},{'lat' : 48.21006,'lng' : 16.382559},{'lat' : 48.210014,'lng' : 16.382547},{'lat' : 48.210037,'lng' : 16.382282}]}"
9,Dijkstra,"{'id' : 3, 'metric' : 'distance', 'name' : 'MinHeap'}",26397100,120,"{'p' : [{'lat' : 48.196007,'lng' : 16.297333},{'lat' : 48.19532,'lng' : 16.297424},{'lat' : 48.194427,'lng' : 16.297604},{'lat' : 48.194477,'lng' : 16.29836},{'lat' : 48.194534,'lng' : 16.299576},{'lat' : 48.195942,'lng' : 16.300379},{'lat' : 48.19643,'lng' : 16.30129},{'lat' : 48.19653,'lng' : 16.301445},{'lat' : 48.197258,'lng' : 16.302084},{'lat' : 48.19814,'lng' : 16.302399},{'lat' : 48.19843,'lng' : 16.304293},{'lat' : 48.198666,'lng' : 16.305489},{'lat' : 48.198696,'lng' : 16.30565},{'lat' : 48.198715,'lng' : 16.305944},{'lat' : 48.198933,'lng' : 16.307049},{'lat' : 48.198982,'lng' : 16.307266},{'lat' : 48.198982,'lng' : 16.307838},{'lat' : 48.19898,'lng' : 16.308086},{'lat' : 48.198994,'lng' : 16.309155},{'lat' : 48.199005,'lng' : 16.310265},{'lat' : 48.199017,'lng' : 16.311186},{'lat' : 48.199028,'lng' : 16.312445},{'lat' : 48.19903,'lng' : 16.313213},{'lat' : 48.19903,'lng' : 16.313366},{'lat' : 48.199043,'lng' : 16.314371},{'lat' : 48.19906,'lng' : 16.315363},{'lat' : 48.199066,'lng' : 16.31654},{'lat' : 48.19907,'lng' : 16.31693},{'lat' : 48.199085,'lng' : 16.317772},{'lat' : 48.199078,'lng' : 16.318102},{'lat' : 48.199024,'lng' : 16.319008},{'lat' : 48.19892,'lng' : 16.320976},{'lat' : 48.19887,'lng' : 16.321669},{'lat' : 48.198814,'lng' : 16.322409},{'lat' : 48.198772,'lng' : 16.322931},{'lat' : 48.198692,'lng' : 16.323906},{'lat' : 48.198643,'lng' : 16.324745},{'lat' : 48.198856,'lng' : 16.325705},{'lat' : 48.199104,'lng' : 16.326609},{'lat' : 48.199364,'lng' : 16.327549},{'lat' : 48.199562,'lng' : 16.328302},{'lat' : 48.199615,'lng' : 16.328506},{'lat' : 48.199905,'lng' : 16.32951},{'lat' : 48.200165,'lng' : 16.330437},{'lat' : 48.200195,'lng' : 16.33055},{'lat' : 48.20023,'lng' : 16.330664},{'lat' : 48.20049,'lng' : 16.33159},{'lat' : 48.20079,'lng' : 16.332626},{'lat' : 48.201157,'lng' : 16.334179},{'lat' : 48.20143,'lng' : 16.336031},{'lat' : 48.20154,'lng' : 16.337046},{'lat' : 48.20163,'lng' : 16.337828},{'lat' : 48.201725,'lng' : 16.33882},{'lat' : 48.201847,'lng' : 16.340506},{'lat' : 48.201824,'lng' : 16.34321},{'lat' : 48.201828,'lng' : 16.345007},{'lat' : 48.201813,'lng' : 16.34595},{'lat' : 48.202793,'lng' : 16.346018},{'lat' : 48.202785,'lng' : 16.346903},{'lat' : 48.20429,'lng' : 16.347263},{'lat' : 48.204247,'lng' : 16.348953},{'lat' : 48.204216,'lng' : 16.35039},{'lat' : 48.204216,'lng' : 16.35048},{'lat' : 48.204227,'lng' : 16.351454},{'lat' : 48.20424,'lng' : 16.35236},{'lat' : 48.204193,'lng' : 16.35324},{'lat' : 48.2041,'lng' : 16.354092},{'lat' : 48.20415,'lng' : 16.354937},{'lat' : 48.204296,'lng' : 16.355742},{'lat' : 48.204433,'lng' : 16.35654},{'lat' : 48.204575,'lng' : 16.356918},{'lat' : 48.205074,'lng' : 16.357958},{'lat' : 48.205135,'lng' : 16.358074},{'lat' : 48.205757,'lng' : 16.359108},{'lat' : 48.206326,'lng' : 16.360088},{'lat' : 48.206528,'lng' : 16.360287},{'lat' : 48.206966,'lng' : 16.359728},{'lat' : 48.20726,'lng' : 16.359713},{'lat' : 48.20866,'lng' : 16.360136},{'lat' : 48.209656,'lng' : 16.360426},{'lat' : 48.211124,'lng' : 16.360857},{'lat' : 48.21212,'lng' : 16.361145},{'lat' : 48.21248,'lng' : 16.361254},{'lat' : 48.21277,'lng' : 16.36134},{'lat' : 48.21397,'lng' : 16.362503},{'lat' : 48.214153,'lng' : 16.362396},{'lat' : 48.214603,'lng' : 16.361944},{'lat' : 48.21513,'lng' : 16.363111},{'lat' : 48.215584,'lng' : 16.364128},{'lat' : 48.215904,'lng' : 16.364845},{'lat' : 48.216255,'lng' : 16.365595},{'lat' : 48.216537,'lng' : 16.3662},{'lat' : 48.217247,'lng' : 16.367695},{'lat' : 48.217373,'lng' : 16.36797},{'lat' : 48.21793,'lng' : 16.369112},{'lat' : 48.218044,'lng' : 16.369402},{'lat' : 48.21828,'lng' : 16.369764},{'lat' : 48.219303,'lng' : 16.371023},{'lat' : 48.220177,'lng' : 16.37212},{'lat' : 48.218815,'lng' : 16.373613},{'lat' : 48.21891,'lng' : 16.374369},{'lat' : 48.21903,'lng' : 16.375498},{'lat' : 48.219086,'lng' : 16.376015},{'lat' : 48.21914,'lng' : 16.37686},{'lat' : 48.219757,'lng' : 16.377432},{'lat' : 48.219536,'lng' : 16.37849},{'lat' : 48.220222,'lng' : 16.378992},{'lat' : 48.21952,'lng' : 16.380022},{'lat' : 48.21943,'lng' : 16.380177},{'lat' : 48.219,'lng' : 16.380781},{'lat' : 48.218964,'lng' : 16.380907},{'lat' : 48.219704,'lng' : 16.381199},{'lat' : 48.219727,'lng' : 16.381212},{'lat' : 48.22045,'lng' : 16.381548},{'lat' : 48.22027,'lng' : 16.382484},{'lat' : 48.220165,'lng' : 16.38301},{'lat' : 48.220116,'lng' : 16.383265},{'lat' : 48.22139,'lng' : 16.383825},{'lat' : 48.221497,'lng' : 16.383873},{'lat' : 48.22105,'lng' : 16.38473},{'lat' : 48.221165,'lng' : 16.38478}]}"
